name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,GENRE 7
117,Three Man Down,1qAOsY7jv9GFTv4HoVof5P,3vdZ30MzgeTe5PiJXEmqjr,ข้างกัน (City),71,3vdZ30MzgeTe5PiJXEmqjr,0.469,0.727,2,-7.484,1,0.0263,0.246,0.000918,0.27,0.341,176.011,296000,4,thai indie pop,thai pop,,,,,,
118,Pop Pongkool,1C6qssOWal7Sii2guMg0mx,03Yp2uEOtPGHQ6E9XSjmyv,สลักจิต,71,03Yp2uEOtPGHQ6E9XSjmyv,0.544,0.582,11,-6.846,1,0.0375,0.409,4.47e-06,0.342,0.359,162.075,264444,4,thai pop,,,,,,,
120,sarah salola,70ircOPIxsddNpd8Vgq23E,5DMALWZOGyyc7noptzvF2j,ยินดี - เพลงประกอบละครมาตาลดา ช่อง 3,63,5DMALWZOGyyc7noptzvF2j,0.579,0.482,1,-9.512,0,0.0512,0.572,1.11e-06,0.238,0.465,80.006,197250,4,thai pop,,,,,,,
121,Musketeers,0OjRa6r1EIPF5RZPy1SGz9,3XCoEJvCYqTbM8bhples8N,พิจารณา (Consider),70,3XCoEJvCYqTbM8bhples8N,0.77,0.677,10,-6.427,1,0.0589,0.526,0.000483,0.128,0.942,135.982,246838,4,deep german indie,thai pop,,,,,,
122,YourMOOD,5YcdFv3OumeTW8cVW788gT,3vfwUrq22haMmIJyyyI7Hq,ลาก่อน,70,3vfwUrq22haMmIJyyyI7Hq,0.563,0.852,11,-7.114,1,0.0319,0.0175,0.00135,0.108,0.764,135.012,188500,4,thai pop,,,,,,,
123,SHERRY,3Uzr5SP3rk1GL9OdPYL0Rz,5LEp7WRnb0T3L2R2mTa9IZ,เธอไม่ได้สอนให้ฉันอยู่คนเดียว,69,5LEp7WRnb0T3L2R2mTa9IZ,0.504,0.589,10,-7.492,1,0.0271,0.0493,0.00451,0.16,0.491,142.047,277962,4,thai indie,,,,,,,
124,ARMOR,5mgTHOrzHxFvdg8AgUsGuD,45dtFcaOs4lBf8gXAAoN8W,Fall in Love,66,45dtFcaOs4lBf8gXAAoN8W,0.703,0.566,2,-6.878,1,0.0337,0.449,0.000136,0.359,0.425,87.965,199145,4,,,,,,,,
125,bamm,2ORibfYGMt8fuIimSDCTq1,47WfK6QKlLwIOxJaonJ3bA,ใครเพื่อนแก,70,47WfK6QKlLwIOxJaonJ3bA,0.69,0.698,6,-6.294,1,0.04,0.271,0.0,0.102,0.732,144.053,248333,4,thai pop,,,,,,,
127,QLER,1P3bwZsaq5vobeBAmrsAFk,3MIVadmVbWGZR0VzNceGt1,ใจลอย,69,3MIVadmVbWGZR0VzNceGt1,0.641,0.582,9,-8.298,1,0.0356,0.758,0.143,0.184,0.624,147.951,197432,4,thai pop,,,,,,,
128,Safeplanet,1DsSoeOUg0YS2hl2czNcbw,2RJ7Q3gHb6cOeNBioSARni,ข้างกาย ( With You ),67,2RJ7Q3gHb6cOeNBioSARni,0.573,0.874,11,-4.859,1,0.0271,0.101,0.0,0.0798,0.571,101.976,256875,4,thai indie pop,thai pop,,,,,,
129,Anatomy Rabbit,73M9RjjrrKjXnf6Is6hNdg,3qMYr2bVu2HpSKrSJ2zj8K,แอบหวัง,69,3qMYr2bVu2HpSKrSJ2zj8K,0.422,0.391,2,-8.529,1,0.0359,0.548,0.189,0.14,0.628,170.401,235059,4,thai folk,thai indie pop,thai pop,,,,,
130,THEMOONWILLALWAYSBEWITHME,0yVywi4NwefY85n4BxZMaz,3Ry2KPewzbt43hiQPTnDTK,ซูลูปาก้า ตาปาเฮ้,69,3Ry2KPewzbt43hiQPTnDTK,0.578,0.569,9,-8.811,1,0.0786,0.441,0.00883,0.112,0.734,168.132,225714,4,thai pop,,,,,,,
131,Mirrr,5zSQoNQ9o2dnT1LPTzDxg7,1rNYuv63emsYt4Jjv8RlgJ,เจ้าของที่,65,1rNYuv63emsYt4Jjv8RlgJ,0.631,0.822,5,-4.793,1,0.0269,0.213,0.00101,0.212,0.879,149.886,240008,4,thai indie pop,thai pop,,,,,,
133,AYLA's,2XiaPu2j4nBMhF8pIlt6Bk,4fwPmzupzsPEzwquuuVaiw,จากตรงนี้ที่(เคย)สวยงาม [La La Bye],69,4fwPmzupzsPEzwquuuVaiw,0.605,0.452,11,-8.951,1,0.0264,0.47,2.98e-06,0.124,0.294,140.027,288250,4,thai pop,,,,,,,
134,DJ Snake,540vIaP2JwjQb9dm3aArA4,6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",79,6IPNp9PfaEqrzotY47TIWy,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,4,edm,electronic trap,pop,pop dance,,,,
135,Blackbeans,3u45DFB1kjVXKwE14FKXCo,2MvwYhejHpLfBcptTEWhDL,Pink,67,2MvwYhejHpLfBcptTEWhDL,0.594,0.799,9,-5.808,1,0.0245,0.0746,1.52e-05,0.0923,0.632,99.978,255750,4,thai indie rock,thai pop,,,,,,
